car_id,brand,model,year,price_lakh,fuel_type,car_type,engine_cc,horsepower,mileage_kmpl,cylinders,engine_type,engine_size,fuel_system,stroke,max_speed_kmph,peak_rpm,drive_wheel,door_number,engine_location,length_mm,width_mm,height_mm,wheelbase_mm,weight_kg,battery_capacity_kwh,range_km,transmission
27,Mercedes-Benz,C-Class,2020,33.5,Diesel,SUV,1500,109,16.4,3,DOHC,1.5,MPFI,73.2,166,4292,AWD,4,Front,3658,1615,1591,2628,1438,,,Manual
28,Audi,A6,2017,22.9,Electric,Sedan,0,157,0.0,0,DOHC,0.0,Battery,0.0,211,0,FWD,5,Front,4785,1531,1772,2919,1152,54,263,Manual
29,Maruti Suzuki,Swift,2017,65.1,CNG,SUV,3000,266,17.9,4,DOHC,3.0,MPFI,78.0,238,4334,AWD,4,Front,4768,1853,1443,2920,1176,,,Automatic
30,Volkswagen,Taigun,2017,43.4,Diesel,Sedan,2000,159,19.8,6,DOHC,2.0,MPFI,86.1,120,4537,FWD,5,Front,4021,1861,1836,2373,1644,,,Manual
31,Mahindra,Scorpio,2023,56.6,CNG,Sedan,3000,208,20.7,6,DOHC,3.0,MPFI,95.2,198,4421,AWD,5,Front,4588,1860,1820,2373,1666,,,Manual
32,Maruti Suzuki,Swift,2018,33.6,CNG,Sedan,1500,127,20.3,6,DOHC,1.5,MPFI,89.0,152,4439,FWD,5,Front,4853,1606,1514,2979,2159,,,Automatic
33,Honda,City,2023,15.1,Electric,Hatchback,0,79,0.0,0,DOHC,0.0,Battery,0.0,127,0,AWD,4,Front,3998,1672,1497,2617,1615,48,457,Manual
34,Honda,City,2020,39.4,Petrol,Hatchback,2000,147,19.3,6,DOHC,2.0,MPFI,73.9,166,4251,FWD,4,Front,4450,1844,1740,2997,2149,,,Automatic
35,Mahindra,Scorpio,2021,38.0,Petrol,Hatchback,2000,135,15.1,4,DOHC,2.0,MPFI,80.7,164,4005,RWD,4,Front,4725,1859,1552,2622,1611,,,Manual
36,Mercedes-Benz,C-Class,2017,56.2,Diesel,SUV,3000,225,25.0,3,DOHC,3.0,MPFI,82.7,159,5118,RWD,5,Front,4564,1866,1533,2430,1785,,,Automatic
37,Mahindra,Scorpio,2023,22.7,CNG,Hatchback,1000,96,17.1,3,DOHC,1.0,MPFI,79.9,121,4389,FWD,5,Front,4772,1522,1404,2860,2176,,,Manual
38,Volkswagen,Taigun,2024,27.6,CNG,SUV,1200,114,23.0,3,DOHC,1.2,MPFI,88.6,121,5107,AWD,4,Front,3916,1998,1784,2530,1039,,,Automatic
39,Honda,City,2025,30.0,Petrol,Sedan,1200,99,12.8,4,DOHC,1.2,MPFI,78.5,217,6296,AWD,4,Front,3836,1663,1761,2327,1552,,,Manual
40,Toyota,Fortuner,2022,27.5,Diesel,SUV,1200,108,13.5,6,DOHC,1.2,MPFI,98.1,239,6402,FWD,4,Front,3656,1648,1610,2948,2047,,,Automatic
41,BMW,X1,2025,23.6,Electric,Hatchback,0,138,0.0,0,DOHC,0.0,Battery,0.0,151,0,RWD,4,Front,4598,1868,1868,2884,1775,47,473,Manual
42,Toyota,Fortuner,2023,30.0,CNG,SUV,1200,107,21.7,6,DOHC,1.2,MPFI,72.2,235,4586,AWD,4,Front,3579,1763,1604,2531,1056,,,Automatic
43,Toyota,Fortuner,2019,30.8,CNG,Sedan,1500,125,13.3,3,DOHC,1.5,MPFI,98.8,186,6360,AWD,5,Front,4895,1963,1487,2384,1350,,,Manual
44,Mahindra,XUV700,2022,23.8,CNG,SUV,1000,82,24.2,6,DOHC,1.0,MPFI,93.7,159,4190,RWD,5,Front,3836,1992,1566,2765,1426,,,Manual
45,Mercedes-Benz,C-Class,2018,64.0,Petrol,SUV,3000,288,18.5,4,DOHC,3.0,MPFI,89.7,207,6470,FWD,5,Front,3908,1537,1481,2566,1698,,,Automatic
46,Tata,Nexon,2025,26.1,Diesel,Sedan,1000,82,24.6,6,DOHC,1.0,MPFI,82.4,123,4660,FWD,4,Front,4823,1962,1752,2667,1267,,,Manual
47,BMW,X1,2018,25.6,CNG,Sedan,1000,69,24.9,3,DOHC,1.0,MPFI,76.0,238,4091,FWD,5,Front,3772,1829,1783,2920,998,,,Automatic
48,Hyundai,i20,2017,21.4,Diesel,Sedan,1000,91,22.1,6,DOHC,1.0,MPFI,86.3,126,4371,FWD,5,Front,3805,1596,1523,2475,1154,,,Automatic
49,Skoda,Slavia,2019,27.5,CNG,Sedan,1200,73,14.7,4,DOHC,1.2,MPFI,84.9,232,5158,AWD,4,Front,4579,1621,1485,2415,1188,,,Manual
50,Honda,City,2020,23.4,CNG,Sedan,1000,77,24.4,4,DOHC,1.0,MPFI,72.0,159,4422,AWD,5,Front,4647,1888,1405,2375,1653,,,Manual
51,Tata,Nexon,2020,24.4,CNG,SUV,1200,77,18.8,3,DOHC,1.2,MPFI,91.9,227,5006,RWD,5,Front,3920,1657,1631,2390,1786,,,Automatic
52,Toyota,Fortuner,2020,54.2,CNG,SUV,3000,206,20.8,4,DOHC,3.0,MPFI,82.2,164,5632,AWD,5,Front,3695,1733,1689,2659,1344,,,Manual
53,Volkswagen,Taigun,2018,23.8,Petrol,SUV,1000,76,22.3,3,DOHC,1.0,MPFI,76.8,173,6091,AWD,4,Front,4600,1784,1819,2676,1627,,,Automatic
54,Hyundai,i20,2024,39.9,Petrol,Hatchback,2000,146,21.0,3,DOHC,2.0,MPFI,75.1,144,4997,FWD,5,Front,3906,1634,1808,2507,2047,,,Automatic
55,Mercedes-Benz,C-Class,2021,19.1,Petrol,Sedan,1000,70,14.1,3,DOHC,1.0,MPFI,73.3,244,5135,AWD,5,Front,3643,1907,1833,2966,963,,,Manual
56,Mahindra,Scorpio,2021,26.0,CNG,SUV,1200,116,17.8,6,DOHC,1.2,MPFI,96.5,200,5281,RWD,4,Front,4823,1557,1624,2575,856,,,Manual
57,Mercedes-Benz,C-Class,2017,23.8,Petrol,Hatchback,1000,76,19.2,4,DOHC,1.0,MPFI,76.1,135,4080,FWD,5,Front,4252,1536,1645,2852,1530,,,Manual
58,Toyota,Fortuner,2022,30.6,Electric,SUV,0,247,0.0,0,DOHC,0.0,Battery,0.0,127,0,FWD,5,Front,4669,1700,1533,2377,1776,60,239,Automatic
59,Maruti Suzuki,Swift,2022,28.0,Electric,Sedan,0,214,0.0,0,DOHC,0.0,Battery,0.0,121,0,FWD,5,Front,3890,1710,1744,2726,2020,59,254,Automatic
60,Toyota,Fortuner,2019,39.3,Petrol,Hatchback,2000,141,23.6,6,DOHC,2.0,MPFI,74.4,185,5884,RWD,4,Front,4156,1551,1685,2527,1348,,,Automatic
61,Tata,Nexon,2018,23.0,CNG,Sedan,800,61,24.6,6,DOHC,0.8,MPFI,74.6,134,4987,FWD,4,Front,4155,1893,1457,2599,1082,,,Manual
62,Audi,A6,2024,41.6,CNG,Sedan,2000,125,18.5,4,DOHC,2.0,MPFI,95.3,182,4727,AWD,5,Front,4499,1522,1586,2653,1923,,,Manual
63,Maruti Suzuki,Swift,2019,42.5,CNG,Hatchback,2000,147,16.1,6,DOHC,2.0,MPFI,74.0,244,5080,FWD,5,Front,3705,1979,1667,2464,884,,,Automatic
64,BMW,X1,2021,32.2,Petrol,Hatchback,1500,112,15.5,4,DOHC,1.5,MPFI,95.9,188,5502,FWD,4,Front,4468,1737,1504,2847,1408,,,Automatic
65,Volkswagen,Taigun,2017,30.6,CNG,Sedan,1200,111,16.1,4,DOHC,1.2,MPFI,83.2,209,4064,RWD,5,Front,4575,1780,1400,2905,1323,,,Manual
66,Hyundai,Creta,2019,16.9,Electric,Hatchback,0,146,0.0,0,DOHC,0.0,Battery,0.0,150,0,RWD,4,Front,4795,1808,1474,2395,1080,64,419,Automatic
67,Mahindra,Scorpio,2025,38.0,Diesel,Hatchback,2000,148,24.0,6,DOHC,2.0,MPFI,97.8,150,4595,AWD,4,Front,4926,1691,1502,2990,1516,,,Automatic
68,Hyundai,Creta,2024,58.5,Petrol,Sedan,3000,191,23.8,4,DOHC,3.0,MPFI,83.4,191,6461,AWD,5,Front,4892,1946,1504,2442,2119,,,Automatic
69,Hyundai,i20,2026,14.5,Electric,Sedan,0,112,0.0,0,DOHC,0.0,Battery,0.0,167,0,RWD,4,Front,3510,1509,1592,2503,1295,55,225,Manual
70,Skoda,Slavia,2025,39.2,CNG,Hatchback,2000,148,24.0,3,DOHC,2.0,MPFI,83.2,247,4283,AWD,4,Front,4964,1750,1874,2596,1491,,,Manual
71,Maruti Suzuki,Swift,2025,18.3,Electric,Sedan,0,85,0.0,0,DOHC,0.0,Battery,0.0,228,0,AWD,5,Front,4268,1789,1429,2441,1559,46,312,Automatic
72,Tata,Punch,2026,64.2,Petrol,Hatchback,3000,293,23.7,4,DOHC,3.0,MPFI,89.6,214,5526,AWD,4,Front,4112,1844,1577,2556,1825,,,Automatic
73,Audi,A6,2017,23.8,Electric,Sedan,0,202,0.0,0,DOHC,0.0,Battery,0.0,151,0,AWD,4,Front,4131,1862,1720,2626,2085,35,484,Manual
74,Mercedes-Benz,C-Class,2019,15.4,Electric,Hatchback,0,73,0.0,0,DOHC,0.0,Battery,0.0,247,0,FWD,4,Front,4151,1554,1886,2377,1436,51,245,Automatic
75,Volkswagen,Taigun,2020,21.5,Diesel,SUV,800,48,13.2,6,DOHC,0.8,MPFI,96.4,216,4582,RWD,4,Front,4857,1531,1824,2880,2078,,,Manual
76,Tata,Nexon,2026,33.1,Diesel,SUV,1500,112,18.1,6,DOHC,1.5,MPFI,94.9,213,4379,RWD,4,Front,4238,1571,1627,2863,1379,,,Manual
77,Hyundai,i20,2020,20.1,CNG,Hatchback,1000,70,23.5,4,DOHC,1.0,MPFI,75.1,231,5017,RWD,5,Front,4439,1636,1657,2700,1000,,,Manual
78,Hyundai,i20,2023,41.7,Diesel,SUV,2000,177,13.9,3,DOHC,2.0,MPFI,85.8,185,4819,AWD,5,Front,4088,1757,1440,2955,1649,,,Manual
79,Kia,Seltos,2022,63.5,Petrol,Hatchback,3000,269,14.5,3,DOHC,3.0,MPFI,86.4,148,6358,RWD,4,Front,3689,1597,1685,2507,1250,,,Automatic
80,Mercedes-Benz,C-Class,2021,60.6,Petrol,SUV,3000,252,16.5,4,DOHC,3.0,MPFI,75.2,174,5310,RWD,4,Front,4884,1564,1472,2594,1236,,,Manual
81,Mercedes-Benz,C-Class,2021,57.5,Petrol,Sedan,3000,191,19.9,4,DOHC,3.0,MPFI,70.3,183,5260,AWD,5,Front,4522,1760,1655,2902,1881,,,Automatic
82,Volkswagen,Taigun,2019,48.1,CNG,Sedan,2000,197,24.8,6,DOHC,2.0,MPFI,87.7,170,4809,AWD,5,Front,4078,1788,1604,2832,1650,,,Manual
83,Honda,City,2024,32.2,Petrol,Sedan,1500,100,20.0,6,DOHC,1.5,MPFI,81.0,129,6407,AWD,4,Front,4538,1516,1636,2892,2008,,,Manual
84,BMW,X1,2017,22.3,Electric,SUV,0,171,0.0,0,DOHC,0.0,Battery,0.0,235,0,FWD,4,Front,4130,1612,1458,2329,1292,29,368,Automatic
85,Maruti Suzuki,Swift,2023,11.0,Electric,Hatchback,0,80,0.0,0,DOHC,0.0,Battery,0.0,129,0,AWD,5,Front,4906,1971,1840,2569,2064,67,353,Manual
86,Tata,Punch,2019,26.7,Diesel,Hatchback,1500,97,15.4,4,DOHC,1.5,MPFI,82.3,207,6448,AWD,5,Front,3658,1837,1725,2886,1904,,,Automatic
87,Mercedes-Benz,C-Class,2023,22.3,Electric,SUV,0,140,0.0,0,DOHC,0.0,Battery,0.0,142,0,FWD,5,Front,4587,1618,1491,2470,1330,56,318,Automatic
88,Mahindra,Scorpio,2022,39.0,CNG,Hatchback,1500,141,18.1,4,DOHC,1.5,MPFI,82.7,217,5060,RWD,5,Front,3879,1501,1555,2330,823,,,Automatic
89,Kia,Seltos,2024,35.1,CNG,SUV,1500,144,13.9,3,DOHC,1.5,MPFI,98.9,221,6307,RWD,4,Front,3993,1712,1436,2588,1200,,,Manual
90,BMW,X1,2024,29.2,CNG,SUV,1200,84,18.9,6,DOHC,1.2,MPFI,78.7,228,4717,AWD,5,Front,4272,1734,1635,2802,1668,,,Automatic
91,Tata,Nexon,2021,20.1,Petrol,Hatchback,800,71,13.5,4,DOHC,0.8,MPFI,97.1,223,4570,FWD,5,Front,3971,1534,1436,2536,1293,,,Manual
92,Hyundai,Creta,2025,17.8,Electric,SUV,0,101,0.0,0,DOHC,0.0,Battery,0.0,219,0,RWD,4,Front,3651,1687,1496,2619,1518,24,329,Automatic
93,Toyota,Fortuner,2025,19.4,CNG,SUV,1000,60,15.1,3,DOHC,1.0,MPFI,84.9,250,6146,FWD,4,Front,4716,1623,1725,2301,914,,,Manual
94,Mahindra,XUV700,2026,18.6,Electric,Hatchback,0,130,0.0,0,DOHC,0.0,Battery,0.0,227,0,AWD,5,Front,3558,1736,1524,2414,1726,59,309,Automatic
95,Mahindra,XUV700,2021,19.5,Electric,Sedan,0,121,0.0,0,DOHC,0.0,Battery,0.0,160,0,RWD,4,Front,4815,1728,1733,2741,949,65,353,Manual
96,Toyota,Fortuner,2026,21.6,Electric,Sedan,0,188,0.0,0,DOHC,0.0,Battery,0.0,183,0,RWD,4,Front,3919,1620,1436,2705,1258,46,387,Manual
97,Honda,City,2023,21.3,Diesel,Hatchback,1000,80,14.0,3,DOHC,1.0,MPFI,98.4,245,6227,AWD,5,Front,4556,1951,1458,2467,1517,,,Automatic
98,Hyundai,i20,2020,21.8,Electric,Sedan,0,159,0.0,0,DOHC,0.0,Battery,0.0,155,0,FWD,4,Front,4873,1694,1512,2439,1474,60,443,Automatic
99,Hyundai,Creta,2017,10.7,Electric,Sedan,0,71,0.0,0,DOHC,0.0,Battery,0.0,169,0,AWD,5,Front,3816,1762,1546,2847,1771,47,369,Automatic
100,Honda,City,2021,27.2,Electric,Hatchback,0,242,0.0,0,DOHC,0.0,Battery,0.0,128,0,FWD,5,Front,4750,1883,1522,2379,991,52,334,Automatic
101,MG,Hector,2025,22.4,Electric,SUV,0,142,0.0,0,DOHC,0.0,Battery,0.0,221,0,AWD,5,Front,4849,1588,1804,2684,1112,57,220,Manual
102,Mahindra,XUV700,2025,22.2,Electric,Sedan,0,126,0.0,0,DOHC,0.0,Battery,0.0,247,0,FWD,4,Front,4251,1862,1573,2779,853,31,265,Automatic
103,Mahindra,XUV700,2026,27.7,Petrol,SUV,1200,110,14.3,3,DOHC,1.2,MPFI,86.0,219,5449,AWD,5,Front,4679,1729,1797,2483,924,,,Manual
104,Kia,Seltos,2026,19.4,Electric,Sedan,0,134,0.0,0,DOHC,0.0,Battery,0.0,157,0,RWD,4,Front,4710,1749,1775,2448,977,74,404,Manual
105,Volkswagen,Taigun,2018,27.2,CNG,Hatchback,1000,79,21.9,3,DOHC,1.0,MPFI,87.6,123,4939,RWD,4,Front,3516,1824,1667,2726,1292,,,Automatic
106,Mahindra,Scorpio,2021,32.2,CNG,Hatchback,1500,107,14.0,6,DOHC,1.5,MPFI,70.7,209,5131,RWD,4,Front,3809,1758,1417,2685,1473,,,Automatic
107,Kia,Seltos,2025,21.3,Diesel,Hatchback,800,58,16.0,4,DOHC,0.8,MPFI,82.7,143,4497,RWD,5,Front,3675,1993,1675,2930,946,,,Automatic
108,Maruti Suzuki,Swift,2018,26.5,CNG,Sedan,1200,75,21.0,4,DOHC,1.2,MPFI,79.2,134,4055,FWD,4,Front,4899,1931,1740,2427,992,,,Manual
109,Kia,Seltos,2019,58.7,Diesel,SUV,3000,228,12.9,3,DOHC,3.0,MPFI,98.8,161,5137,FWD,4,Front,3518,1709,1479,2806,1570,,,Manual
110,Kia,Seltos,2019,22.7,Electric,Hatchback,0,168,0.0,0,DOHC,0.0,Battery,0.0,182,0,FWD,5,Front,3595,1700,1670,2304,880,29,388,Manual
111,Mercedes-Benz,C-Class,2020,15.8,Electric,Sedan,0,118,0.0,0,DOHC,0.0,Battery,0.0,182,0,RWD,5,Front,4561,1563,1522,2842,1021,34,231,Manual
112,MG,Hector,2023,21.1,Electric,Hatchback,0,139,0.0,0,DOHC,0.0,Battery,0.0,175,0,RWD,4,Front,3649,1633,1520,2516,1379,72,328,Automatic
113,Skoda,Slavia,2021,32.9,Diesel,SUV,1500,113,12.5,4,DOHC,1.5,MPFI,92.9,158,5071,RWD,4,Front,4690,1704,1654,2956,1146,,,Manual
114,Kia,Seltos,2020,21.4,Electric,Sedan,0,162,0.0,0,DOHC,0.0,Battery,0.0,187,0,RWD,4,Front,4229,1503,1667,2605,1658,59,377,Automatic
115,Hyundai,Creta,2023,22.8,Diesel,Sedan,1000,70,24.7,4,DOHC,1.0,MPFI,77.7,183,6209,RWD,4,Front,4713,1842,1830,2561,1101,,,Manual
116,Maruti Suzuki,Swift,2026,26.8,CNG,Sedan,1000,97,13.6,4,DOHC,1.0,MPFI,78.6,123,4581,FWD,4,Front,4425,1793,1453,2963,951,,,Automatic
117,MG,Hector,2026,17.4,Electric,Hatchback,0,99,0.0,0,DOHC,0.0,Battery,0.0,237,0,FWD,5,Front,4784,1745,1434,2886,985,62,288,Automatic
118,Maruti Suzuki,Swift,2021,28.6,CNG,Hatchback,1500,113,15.2,6,DOHC,1.5,MPFI,90.1,245,4271,AWD,5,Front,3924,1592,1444,2523,1598,,,Automatic
119,Kia,Seltos,2017,23.1,Petrol,Sedan,800,62,24.8,6,DOHC,0.8,MPFI,73.7,146,5903,FWD,4,Front,4806,1898,1778,2783,1694,,,Manual
120,BMW,X1,2023,65.6,Diesel,Hatchback,3000,273,19.3,4,DOHC,3.0,MPFI,95.8,146,6412,RWD,4,Front,4451,1871,1815,2375,1406,,,Manual
121,Audi,A6,2021,31.3,CNG,Hatchback,1500,104,14.6,4,DOHC,1.5,MPFI,98.5,133,5071,RWD,5,Front,4896,1771,1532,2905,1223,,,Manual
122,Volkswagen,Taigun,2024,31.5,Petrol,Hatchback,1500,141,22.7,4,DOHC,1.5,MPFI,72.1,121,5560,RWD,5,Front,4546,1878,1893,2335,1917,,,Manual
123,Toyota,Fortuner,2025,37.2,CNG,SUV,1500,146,19.0,6,DOHC,1.5,MPFI,95.5,148,5031,AWD,5,Front,4306,1960,1563,2363,1198,,,Manual
124,Mahindra,Scorpio,2026,11.5,Electric,Hatchback,0,90,0.0,0,DOHC,0.0,Battery,0.0,128,0,FWD,4,Front,4898,1592,1594,2503,2163,74,495,Manual
125,Mahindra,XUV700,2022,28.9,Diesel,SUV,1200,105,22.3,4,DOHC,1.2,MPFI,78.3,151,5447,FWD,4,Front,4487,1793,1650,2968,931,,,Automatic
126,Audi,A6,2018,15.7,Petrol,Sedan,800,48,17.7,6,DOHC,0.8,MPFI,99.6,163,5875,RWD,5,Front,3672,1786,1891,2813,1524,,,Manual
127,Tata,Punch,2017,19.5,Petrol,Sedan,1000,66,16.3,6,DOHC,1.0,MPFI,84.3,158,5398,RWD,5,Front,4864,1561,1582,2509,1007,,,Manual
128,Audi,A6,2023,17.0,CNG,Sedan,800,55,13.3,6,DOHC,0.8,MPFI,90.6,225,5203,AWD,4,Front,4141,1802,1896,2613,1237,,,Manual
129,MG,Hector,2019,30.4,Electric,SUV,0,212,0.0,0,DOHC,0.0,Battery,0.0,213,0,FWD,4,Front,3954,1943,1684,2776,1324,59,391,Manual
130,Mahindra,Scorpio,2018,30.1,Diesel,Sedan,1200,112,15.5,3,DOHC,1.2,MPFI,94.1,204,5706,RWD,4,Front,3697,1611,1553,2305,1293,,,Automatic
131,Honda,City,2025,24.4,Diesel,SUV,1000,80,15.3,6,DOHC,1.0,MPFI,87.2,184,4036,FWD,4,Front,3588,1921,1881,2319,1578,,,Manual
132,Mahindra,Scorpio,2019,30.8,Petrol,Sedan,1500,124,18.1,3,DOHC,1.5,MPFI,83.4,169,5397,AWD,5,Front,4517,1777,1886,2545,1032,,,Automatic
133,Maruti Suzuki,Alto,2024,25.0,Electric,SUV,0,152,0.0,0,DOHC,0.0,Battery,0.0,186,0,FWD,5,Front,4790,1625,1730,2639,1589,24,400,Automatic
134,Audi,A6,2025,31.9,CNG,SUV,1500,93,15.5,3,DOHC,1.5,MPFI,93.1,170,4116,AWD,5,Front,4501,1875,1585,2601,1443,,,Automatic
135,Audi,A6,2025,28.7,Electric,SUV,0,241,0.0,0,DOHC,0.0,Battery,0.0,132,0,RWD,4,Front,4388,1906,1547,2324,966,69,290,Manual
136,Hyundai,i20,2019,15.2,Electric,Hatchback,0,122,0.0,0,DOHC,0.0,Battery,0.0,244,0,AWD,4,Front,3958,1750,1723,2768,1205,53,391,Manual
137,Volkswagen,Taigun,2023,38.0,Diesel,Sedan,2000,122,20.3,3,DOHC,2.0,MPFI,94.0,206,6455,RWD,5,Front,4419,1767,1753,2904,887,,,Automatic
138,Mercedes-Benz,C-Class,2022,19.3,CNG,Hatchback,800,64,20.9,4,DOHC,0.8,MPFI,83.8,230,5847,RWD,5,Front,3556,1883,1588,2638,1640,,,Manual
139,Hyundai,i20,2021,53.9,Petrol,SUV,3000,211,20.2,6,DOHC,3.0,MPFI,77.7,237,5793,AWD,5,Front,4181,1884,1729,2494,1471,,,Automatic
140,Toyota,Fortuner,2021,31.7,Diesel,Sedan,1500,107,22.5,3,DOHC,1.5,MPFI,88.8,158,5713,AWD,4,Front,4652,1708,1430,2726,1535,,,Manual
141,Kia,Seltos,2020,30.0,Diesel,SUV,1500,118,16.6,6,DOHC,1.5,MPFI,90.3,213,4194,AWD,4,Front,4548,1759,1835,2703,2105,,,Manual
142,Kia,Seltos,2020,15.4,Electric,SUV,0,115,0.0,0,DOHC,0.0,Battery,0.0,244,0,AWD,4,Front,4347,1783,1488,2816,1359,46,441,Manual
143,BMW,X1,2018,28.8,Diesel,Sedan,1500,111,16.7,4,DOHC,1.5,MPFI,77.7,181,4073,AWD,5,Front,4415,1801,1687,2519,2082,,,Manual
144,Honda,City,2018,31.8,Electric,Hatchback,0,237,0.0,0,DOHC,0.0,Battery,0.0,154,0,FWD,4,Front,4346,1766,1451,2528,1750,53,323,Manual
145,Mahindra,XUV700,2018,26.1,Diesel,Sedan,1000,64,17.1,6,DOHC,1.0,MPFI,98.2,225,5778,AWD,4,Front,4920,1803,1842,2427,1423,,,Automatic
146,MG,Hector,2023,23.0,Diesel,SUV,1000,99,16.7,3,DOHC,1.0,MPFI,99.9,145,6230,AWD,5,Front,4037,1937,1606,2835,1015,,,Automatic
147,Volkswagen,Taigun,2026,24.4,Electric,Sedan,0,145,0.0,0,DOHC,0.0,Battery,0.0,219,0,AWD,4,Front,4147,1804,1647,2334,1951,40,283,Manual
148,Volkswagen,Taigun,2025,13.3,Electric,SUV,0,70,0.0,0,DOHC,0.0,Battery,0.0,226,0,AWD,4,Front,3861,1592,1661,2910,1718,69,220,Manual
